stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
1,NA,NA,1984,634,NA,29,9,NA
1,6,23,1984,636,NA,4,2,NA
1,NA,NA,1984,637,NA,3,2,NA
1,NA,NA,1984,638,NA,6,3,NA
1,NA,NA,1984,639,NA,13,10,NA
1,NA,NA,1984,644,NA,40,10,NA
1,NA,NA,1984,647,NA,13,3,NA
1,NA,NA,1984,650,NA,4,2,NA
1,6,23,1984,654,NA,8,6,NA
1,6,23,1984,657,NA,18,11,NA
1,NA,NA,1984,660,NA,3,2,NA
1,NA,NA,1984,661,NA,9,7,also browsed 'once before'
1,6,23,1984,662,NA,7,1,NA
1,NA,NA,1984,666,NA,9,3,NA
1,6,23,1984,675,NA,14,8,NA
1,6,23,1984,676,NA,5,3,NA
1,NA,NA,1984,678,NA,7,2,NA
1,NA,NA,1984,681,NA,19,11,NA
1,6,23,1984,686,NA,12,8,NA
1,NA,NA,1984,689,NA,7,6,NA
1,NA,NA,1984,691,NA,10,13,also browsed 'once before'
1,NA,NA,1984,692,NA,14,5,NA
1,6,23,1984,694,NA,5,3,NA
1,NA,NA,1984,696,NA,14,3,NA
1,NA,NA,1984,697,NA,4,5,NA
1,NA,NA,1984,698,NA,10,3,NA
1,6,23,1984,701,NA,9,4,NA
1,6,23,1984,702,NA,10,3,NA
1,NA,NA,1984,703,NA,14,3,NA
1,NA,NA,1984,704,NA,3,2,NA
1,NA,NA,1984,705,NA,8,1,NA
1,6,23,1984,716,NA,7,2,NA
1,NA,NA,1984,723,NA,5,3,NA
1,6,23,1984,727,NA,10,9,NA
1,NA,NA,1984,730,NA,6,2,NA
1,6,23,1984,737,NA,13,4,NA
1,6,23,1984,752,NA,4,1,NA
1,6,23,1984,756,NA,5,3,NA
1,5,17,1985,402,NA,30,5,NA
1,5,17,1985,407,NA,28,4,NA
1,5,17,1985,429,NA,87,11,NA
1,5,17,1985,430,NA,22,8,NA
1,5,17,1985,436,NA,70,7,NA
1,5,17,1985,443,NA,22,3,NA
1,5,17,1985,445,NA,29,4,NA
1,5,17,1985,450,NA,34,4,NA
1,5,17,1985,458,NA,15,2,NA
1,5,17,1985,459,NA,10,2,NA
1,5,17,1985,461,NA,31,5,NA
1,5,17,1985,467,NA,2.5,2,NA
1,5,17,1985,475,NA,72,8,NA
1,5,17,1985,480,NA,15,2,NA
1,5,17,1985,481,NA,47,7,NA
1,5,17,1985,486,NA,57,8,NA
1,5,17,1985,489,NA,10,2,NA
1,5,17,1985,493,NA,15,5,NA
1,5,17,1985,495,NA,3.5,3,NA
1,5,17,1985,496,NA,25,7,NA
