"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"5","1B","2154","POTR",16,NA,"1",NA,"1.8","1983",NA,NA,"1.2","0",NA,"1983",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.9",NA,NA,"DD",NA,"Recent_breakage,_half_still_standing,_exits_E_1.2_m_(1983);_10_m_snag_(1991)"
"5","1B","2155","PIGL",9,NA,"2.5",NA,"2.2",NA,NA,NA,NA,NA,NA,NA,NA,"9.9","O","Z",NA,NA,NA,NA,"3.3","3","3","60",NA,NA,"11.6","15.6","15.6",NA,NA,""
"5","1C","2160","PIGL",12.8,NA,"0.9","0.6",NA,"2000",NA,NA,NA,NA,NA,NA,NA,"13.5","S","SW",NA,NA,NA,NA,"3.5","2.7","3","40","16.3",NA,"15.8","17",NA,"DL",NA,""
"5","1C","2159","PIGL",9.5,NA,"1.7","1.2",NA,"2000",NA,NA,NA,NA,NA,NA,NA,"10.5","O","Z",NA,NA,NA,NA,"2.5","3","4.4","30","11.8",NA,"10.9","10.6",NA,"DL",NA,""
"5","1C","2156","PIGL",8.5,"1.1",NA,NA,"1.7","1983",NA,NA,NA,NA,NA,NA,NA,"19.2","O","Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,"DD",NA,""
"5","1C","2157","POTR",19,"1.3",NA,"1.2",NA,"2000",NA,NA,NA,NA,NA,NA,NA,"19","O","Z",NA,NA,NA,NA,"2.9","3.2","12.2","50","23.8",NA,"19.6","19.3",NA,"DB2",NA,""
"5","1C","2158","POTR",7.8,"1.5",NA,"0.5",NA,"1981","8.5",NA,"2","0",NA,"1983",NA,"6.8","L","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","1D","2161","POTR",18.5,NA,"0.6",NA,"0.3","2000","19.5",NA,"0","1",NA,"1988",NA,"18.8","O","Z",NA,NA,NA,NA,"2.1","3","16.2","10","21",NA,"17.9",NA,NA,"DD",NA,"8_m_snag,_top_exit_coords_4.0_(1991);_original_length_number_in_spreadsheet_was_95.0,_other_data_is_different_but_left_as_is(2003)"
"5","1D","2169","PIGL",9.8,NA,"0.7","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.5","O","Z",NA,NA,NA,NA,"2.5","1.7","7.3","40","11.5",NA,"11.2","12.5","14.5",NA,NA,""
"5","1D","2168","PIGL",9.2,NA,"0.8","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.2","O","Z",NA,NA,NA,NA,"2.3","1.6","8","30","10.6",NA,"9.8","10.2","12.7",NA,NA,""
"5","1D","2170","POTR",8,NA,"1.3","1.5",NA,"1983",NA,NA,NA,NA,NA,NA,NA,"10.3","M","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.2",NA,NA,"DD",NA,""
"5","1D","2171","PIGL",16,NA,"1.5",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,"15","O","Z",NA,NA,NA,NA,"3","2.7","9.6","85","19.3",NA,"19.2","22.6","20.1",NA,NA,""
"5","1D","2167","PIGL",13.5,NA,"1.6","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.3","O","Z",NA,NA,NA,NA,"2","2.2","12","60","16.7",NA,"15.2","16.2","17",NA,NA,""
"5","1D","2163","PIGL",12.2,"0.1",NA,NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,"13.5","S","W",NA,NA,NA,NA,"2.2","2.6","8.2","60","15.3",NA,"14.6","16.5","16.7",NA,NA,""
