stand,quadrat,tree_tag,dead,height_m,age,dbh_m,sp_codes
4,6G,2664,d,NA,NA,17.01799081,PIBA
4,6G,2665,l,NA,NA,9.651994788,PIBA
4,6H,2666,d,NA,NA,16.76399095,PIBA
4,6H,2667,d,NA,NA,15.23999177,PIBA
4,6I,2668,d,NA,NA,11.42999383,PIBA
4,6I,2672,d,NA,NA,11.17599396,PIBA
4,6I,2669,d,NA,NA,10.66799424,PIBA
4,6I,2670,d,NA,NA,7.619995885,PIBA
4,6I,2671,d,NA,NA,13.96999246,PIBA
4,6I,2673,d,NA,NA,12.953993,PIBA
4,7J,2674,l,NA,NA,14.47799218,PIBA
