month,year,stand,quad,temp_C
10,1982,1,6C,5
5,1983,1,6C,4
6,1983,1,6C,11
7,1983,1,6C,15
8,1983,1,6C,17
9,1983,1,6C,9
10,1983,1,6C,7
5,1984,1,6C,6
6,1984,1,6C,11
7,1984,1,6C,16
8,1984,1,6C,17
9,1984,1,6C,9
10,1984,1,6C,7
5,1985,1,6C,3
6,1985,1,6C,9
7,1985,1,6C,15
9,1985,1,6C,15
10,1985,1,6C,7
8,1986,1,6C,18
5,1987,1,6C,9
8,1987,1,6C,16
9,1987,1,6C,8
5,1988,1,6C,5
8,1988,1,6C,15
9,1988,1,6C,14
10,1988,1,6C,4
5,1989,1,6C,9
6,1989,1,6C,9
7,1989,1,6C,14
8,1989,1,6C,18
9,1989,1,6C,11
10,1989,1,6C,7
5,1990,1,6C,4
6,1990,1,6C,11
7,1990,1,6C,13
8,1990,1,6C,13
9,1990,1,6C,12
10,1990,1,6C,3
8,1995,1,6C,12
8,2000,1,6C,17
8,2005,1,6C,16
8,2010,1,6C,18
6,1981,1,6E,11
8,1981,1,6E,14
9,1981,1,6E,9
11,1981,1,6E,4
5,1982,1,6E,5
6,1982,1,6E,10
7,1982,1,6E,13
8,1982,1,6E,14
9,1982,1,6E,13
10,1982,1,6E,5
5,1983,1,6E,4
6,1983,1,6E,11
7,1983,1,6E,16
8,1983,1,6E,18
9,1983,1,6E,10
10,1983,1,6E,8
5,1984,1,6E,7
6,1984,1,6E,12
7,1984,1,6E,16
8,1984,1,6E,17
9,1984,1,6E,9
10,1984,1,6E,7
5,1985,1,6E,3
6,1985,1,6E,9
7,1985,1,6E,15
9,1985,1,6E,16
10,1985,1,6E,7
8,1986,1,6E,18
5,1987,1,6E,10
8,1987,1,6E,16
9,1987,1,6E,8
5,1988,1,6E,6
8,1988,1,6E,15
9,1988,1,6E,14
10,1988,1,6E,4
5,1989,1,6E,9
6,1989,1,6E,9
7,1989,1,6E,14
8,1989,1,6E,18
9,1989,1,6E,11
10,1989,1,6E,7
5,1990,1,6E,5
6,1990,1,6E,11
7,1990,1,6E,13
8,1990,1,6E,12
9,1990,1,6E,12
10,1990,1,6E,2
8,1995,1,6E,12
8,2000,1,6E,17
8,2005,1,6E,16
8,2010,1,6E,17
6,1981,1,6G,11
8,1981,1,6G,14
9,1981,1,6G,9
11,1981,1,6G,5
5,1982,1,6G,5
6,1982,1,6G,10
7,1982,1,6G,13
8,1982,1,6G,14
9,1982,1,6G,13
10,1982,1,6G,6
5,1983,1,6G,4
6,1983,1,6G,11
7,1983,1,6G,16
8,1983,1,6G,18
9,1983,1,6G,10
10,1983,1,6G,8
5,1984,1,6G,7
6,1984,1,6G,12
7,1984,1,6G,16
8,1984,1,6G,18
9,1984,1,6G,9
10,1984,1,6G,7
5,1985,1,6G,3
6,1985,1,6G,9
7,1985,1,6G,15
9,1985,1,6G,16
10,1985,1,6G,7
8,1986,1,6G,18
5,1987,1,6G,9
8,1987,1,6G,16
9,1987,1,6G,7
5,1988,1,6G,6
8,1988,1,6G,16
9,1988,1,6G,15
10,1988,1,6G,4
5,1989,1,6G,8
6,1989,1,6G,9
7,1989,1,6G,14
8,1989,1,6G,18
9,1989,1,6G,12
10,1989,1,6G,7
5,1990,1,6G,5
6,1990,1,6G,12
7,1990,1,6G,12
8,1990,1,6G,12
9,1990,1,6G,12
10,1990,1,6G,2
8,1995,1,6G,13
8,2000,1,6G,17
8,2005,1,6G,16
8,2010,1,6G,17
6,1981,1,6I,10
8,1981,1,6I,14
9,1981,1,6I,9
11,1981,1,6I,6
5,1982,1,6I,6
6,1982,1,6I,10
7,1982,1,6I,13
8,1982,1,6I,15
9,1982,1,6I,13
10,1982,1,6I,5
5,1983,1,6I,4
6,1983,1,6I,11
7,1983,1,6I,16
8,1983,1,6I,18
9,1983,1,6I,11
10,1983,1,6I,8
5,1984,1,6I,7
6,1984,1,6I,12
7,1984,1,6I,16
8,1984,1,6I,18
9,1984,1,6I,9
10,1984,1,6I,7
5,1985,1,6I,3
6,1985,1,6I,10
7,1985,1,6I,16
9,1985,1,6I,17
10,1985,1,6I,7
8,1986,1,6I,18
5,1987,1,6I,10.5
8,1987,1,6I,16
9,1987,1,6I,8
5,1988,1,6I,6
8,1988,1,6I,15
9,1988,1,6I,16
10,1988,1,6I,4
5,1989,1,6I,8
6,1989,1,6I,9
7,1989,1,6I,14
8,1989,1,6I,18
9,1989,1,6I,12
10,1989,1,6I,7
5,1990,1,6I,5
6,1990,1,6I,12
7,1990,1,6I,12
8,1990,1,6I,12
9,1990,1,6I,12
10,1990,1,6I,2
8,1995,1,6I,13
8,2000,1,6I,17
8,2005,1,6I,17
8,2010,1,6I,17
6,1981,1,8A,11
8,1981,1,8A,15
9,1981,1,8A,9
11,1981,1,8A,3
5,1982,1,8A,6
6,1982,1,8A,11
7,1982,1,8A,18
8,1982,1,8A,14
9,1982,1,8A,13
10,1982,1,8A,5
5,1983,1,8A,4
6,1983,1,8A,12
7,1983,1,8A,16
8,1983,1,8A,18
9,1983,1,8A,11
10,1983,1,8A,8
5,1984,1,8A,7
6,1984,1,8A,12
7,1984,1,8A,16
8,1984,1,8A,18
9,1984,1,8A,12
10,1984,1,8A,7
5,1985,1,8A,3
6,1985,1,8A,10
7,1985,1,8A,16
9,1985,1,8A,16
10,1985,1,8A,7
8,1986,1,8A,22
8,1987,1,8A,17
8,1988,1,8A,18
8,1989,1,8A,19
8,1990,1,8A,13
8,1995,1,8A,13
8,2000,1,8A,18
8,2005,1,8A,16
8,2010,1,8A,19
6,1981,1,8C,10
8,1981,1,8C,14
9,1981,1,8C,9
11,1981,1,8C,4
5,1982,1,8C,6
6,1982,1,8C,10
7,1982,1,8C,16
8,1982,1,8C,13
9,1982,1,8C,12
10,1982,1,8C,5
5,1983,1,8C,4
6,1983,1,8C,11
7,1983,1,8C,16
8,1983,1,8C,18
9,1983,1,8C,10
10,1983,1,8C,9
5,1984,1,8C,8
6,1984,1,8C,11
7,1984,1,8C,16
8,1984,1,8C,18
9,1984,1,8C,12
10,1984,1,8C,7
5,1985,1,8C,4
6,1985,1,8C,9
7,1985,1,8C,15
9,1985,1,8C,16
10,1985,1,8C,7
8,1986,1,8C,18
8,1987,1,8C,16
8,1988,1,8C,17
8,1989,1,8C,19
8,1990,1,8C,13
8,1995,1,8C,13
8,2000,1,8C,18
8,2005,1,8C,16
8,2010,1,8C,18
6,1981,1,8E,11
8,1981,1,8E,14
9,1981,1,8E,9
11,1981,1,8E,3
5,1982,1,8E,5
6,1982,1,8E,9
7,1982,1,8E,16
8,1982,1,8E,13
9,1982,1,8E,12
10,1982,1,8E,4
5,1983,1,8E,4
6,1983,1,8E,11
7,1983,1,8E,15
8,1983,1,8E,18
9,1983,1,8E,10
10,1983,1,8E,8
5,1984,1,8E,6
6,1984,1,8E,11
7,1984,1,8E,16
8,1984,1,8E,18
9,1984,1,8E,12
10,1984,1,8E,7
5,1985,1,8E,2
6,1985,1,8E,8
7,1985,1,8E,15
9,1985,1,8E,16
10,1985,1,8E,7
8,1986,1,8E,19
8,1987,1,8E,17
8,1988,1,8E,17
8,1989,1,8E,21
8,1990,1,8E,14
8,1995,1,8E,13
8,2000,1,8E,18
8,2005,1,8E,16
8,2010,1,8E,18
6,1981,1,8G,11
8,1981,1,8G,14
9,1981,1,8G,9
11,1981,1,8G,4
5,1982,1,8G,6
6,1982,1,8G,9
7,1982,1,8G,17
8,1982,1,8G,13
9,1982,1,8G,12
10,1982,1,8G,4
5,1983,1,8G,4
