Month,Year,Stand,Quad,BEPA,PIGL,POBA,POTR,AMAL,LODI,LOIN,PRPE,RIGL,RILA,RITR,ROAC,RUID,SYAL,VAVI,VIED,ACMI,ARNU,ASCI,ASCO,ACRU,COCA,COTR,EPAN,FRVE,FRVI,GABO,GATR,GORE,LAOC,LIBO,MACA,MEPA,MINU,OSCH,PEPA,PYAS,ORSE,PYCH,RUPU,TRBO,VIRE,CACA,ELIN,SCPU,EQSY,HIUM,VIAM,ELGL,BRCI,VAMY,MOUN,AGTR,LYCO,DITR,ABBA,TAOF,RIOX
8,2010,5,2E,0,20,0,23,0,0.1,0.5,0,0,0.01,0,1,0,0,0,3,0,3,0.5,1,0,2,0,0,0,0.1,0.1,0,0,4,1,0.5,1,0.5,0,1,0.1,0,0,1,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,2C,0,11,0,10,0,0,5,0,0,0,0.01,3,0,0,0,4,0,8,0.5,0.5,0,5,0,0.5,0,0.1,0.1,0,0,2,2,0,3,0.5,0,0.5,0,0,0,3,0,0.01,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,2A,0,30,0,20,0.5,1,0.5,0,0,0.01,0,2,0,0,0,2,0,4,0.5,0.1,0,1,0,0,0,0,0.1,0.01,0,2,0.5,1,0.5,0,0,0.5,0.01,0.01,0,3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,4A,0,30,0,18,0,0.5,0.5,0,0,0.5,1,3,0,0,0,1,0.01,4,0.5,0.1,0,1,0,0,0,0,0.5,0,0,0.5,2,0,3,1,0,0.1,0.1,0.1,0,3,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,4C,0,19,0,25,0,1,0,0,0,0,0,4,0,0,0,3,0,7,0.5,0.1,0,6,0,0,0,0.1,0.1,0,0,0.5,1,0.1,2,0.5,0,1,0,0,0,2,0,0,0.1,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,NA
8,2010,5,4E,0,25,0,20,0,0.5,0,0,0,0.01,0.1,0.5,0,0,0,0.5,0,5,0.1,0,0,0.1,0,0,0,0,0.1,0,0,1,0.5,0.1,3,0.1,0,1,0.1,0,0,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,NA
8,2010,5,4G,0,30,0,20,0,0,0.5,0,0,0,0,3,0,0,0,2,0.01,7,2,0,0,4,0,0,0,0,0.5,0.1,0,1,0.5,0.5,4,0.1,0,0.5,0,0,0,4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,NA
8,2010,5,4I,0,25,0,25,0,1,0,0,0,0,0,4,0,0,0,2,0,6,3,0,0,4,0,0,0,0.1,0.1,0,0,2,0.5,0.5,3,0.5,0,1,0,0,0,4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,6I,0,40,0,10,0,0,0.5,0,0,0,0.01,1,0,0,0,0.5,0,8,0.5,0,0,1,0,0,0,0,0.1,0,0,0.5,0.1,0.5,2,1,0,2,0,0,0,1,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,6G,0,20,0,25,0,0,0,0,0,0,0.1,2,0,0,0,2,0,8,1,0.01,0,4,0,0,0,0.1,0.5,0,0,2,1,0.1,3,1,0,1,0,0,0.01,3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,NA
8,2010,5,6E,0,28,0,20,0.1,0,0,0,0,0,1,1,0,0,0,0.5,0,4,1,0,0.01,2,0,0,0,0.1,0.1,0,0,0.01,0.5,0.5,2,0.1,0,0.1,0.1,0,0,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,6C,0,30,0,20,0,0.5,0.1,0,0,0,0.5,1,0,0,0,1,0.01,3,0.5,0,0,3,0,0,0,0,0.1,0,0,1,1,0.5,1,0.5,0,0.5,0,0,0,1,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,6A,0,50,0,20,0,0.5,0,0,0,0,0.1,1,0,0,0,0.1,0,6,1,0,0.01,2,0,0,0,0,0.1,0,0,0.1,0.1,0.5,0.5,0.1,0,0.1,0,0,0,3,0.1,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,8A,0,40,0,20,0,0,4,0,0,0,0,11,0,0,0,4,0.01,15,3,2,0,3,0,0,0,0.5,0.1,0,0,2,1,1,6,0.5,0,2,0,0,0,5,0.1,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,8C,0,20,0,25,0,0.5,0,0,0,0,0,1,0,0,0,2,0,7,1,0,0,2,0,0,0,0,0.01,0,0.01,0,1,0.5,0.5,0.1,0,1,0,0.01,0,2,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,8E,0,20,0,15,0,0.01,1,0,0,0,0,1,0,0,0,0.5,0,5,0.5,0.1,0,2,0,0,0,0,0.1,0,0,0,0.1,0.01,1,0.5,0,2,0,0,0,3,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2010,5,8G,0,40,0,15,0.5,0,1,0,0,0.1,0.1,2,0,0,0,0.5,0,15,1,1,0,3,0,0,0,0,0.1,0,0,0.5,0.5,0.5,2,1,0,1,0,0,0,3,0.1,0.01,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
